reaction_id	pathway_ids (KEGG and Metacyc
rxn20496	rn00330	rn01110
rxn20497	
rxn20498	ALL-CHORISMATE-PWY	FOLSYN-PWY	PWY-6543	PWY-6612	PWY-7575	rn00790
rxn20499	ALL-CHORISMATE-PWY	FOLSYN-PWY	PWY-6543	PWY-6612	PWY-7575	rn00790
rxn20500	KDO-NAGLIPASYN-PWY
rxn20501	KDO-NAGLIPASYN-PWY
rxn20502	PWY-1121	PWY-321	PWY-5994	PWY-6733	rn00062	rn01040	rn01212
rxn20503	PWY-1121	PWY-321	PWY-5994	PWY-6733	rn00062	rn01040	rn01212
rxn20504	
rxn20505	
rxn20506	PWY-7267
rxn20507	
rxn20508	FERMENTATION-PWY	P23-PWY	PWY-1622	PWY-241	PWY-5913	PWY-6142	PWY-6146	PWY-6549	PWY-7115	PWY-7117	PWY-7124	PWYQT-4429
rxn20509	ANAEROFRUCAT-PWY	ANAGLYCOLYSIS-PWY	FERMENTATION-PWY	HEXITOLDEGSUPER-PWY	NPGLUCAT-PWY	P122-PWY	P124-PWY	P341-PWY	P441-PWY	P461-PWY	PWY-1042	PWY-2221	PWY-5464	PWY-5484	PWY-5723	PWY-6142	PWY-6146	PWY-6886	PWY-6901	PWY-7003	PWY-7218	PWY-7345	PWY-7383	PWY-7389	PWY-8004	rn00010	rn00230	rn00620	rn01110	rn01200	rn01230
rxn20510	
rxn20511	
rxn20512	
rxn20513	
rxn20514	
rxn20515	
rxn20516	
rxn20517	
rxn20518	
rxn20519	
rxn20520	
rxn20521	
rxn20522	ANAEROFRUCAT-PWY	ANAGLYCOLYSIS-PWY	COLANSYN-PWY	GLUCONEO-PWY	OANTIGEN-PWY	P122-PWY	P124-PWY	P341-PWY	PWY-3801	PWY-5054	PWY-5384	PWY-5514	PWY-5659	PWY-6142	PWY-6146	PWY-621	PWY-622	PWY-6404	PWY-6981	PWY-6992	PWY-7238	PWY-7323	PWY-7332	PWY-7345	PWY-7347	PWY-7385	PWY-8013	PWY66-399	RUMP-PWY	SUCSYN-PWY	UDPNACETYLGALSYN-PWY	UDPNAGSYN-PWY	rn00010	rn01110
rxn20523	PWY-8010	SER-GLYSYN-PWY	SERSYN-PWY	SULFATE-CYS-PWY	rn00260	rn00680	rn01200	rn01230
rxn20524	
rxn20525	
rxn20526	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20527	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20528	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20529	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20530	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20531	
rxn20532	
rxn20533	2PHENDEG-PWY	ANAPHENOXI-PWY	BENZCOA-PWY	PWY-6071	PWY-6318	PWY-6534	PWY-6941	rn00360	rn00643
rxn20534	BENZCOA-PWY	PWY-1341
rxn20535	
rxn20536	BENZCOA-PWY	PHENOLDEG-PWY
rxn20537	TRNA-CHARGING-PWY
rxn20538	
rxn20539	ANAPHENOXI-PWY	BENZCOA-PWY	PWY-5079	rn00360
rxn20540	
rxn20541	ACETATEUTIL-PWY	ARGORNPROST-PWY	FERMENTATION-PWY	METH-ACETATE-PWY	P122-PWY	P142-PWY	P161-PWY	P163-PWY	P3-PWY	P41-PWY	P441-PWY	P461-PWY	PROPFERM-PWY	PWY-1281	PWY-1541	PWY-5100	PWY-5327	PWY-5482	PWY-5485	PWY-5497	PWY-5600	PWY-5676	PWY-6590	PWY-6604	PWY-6637	PWY-6641	PWY-6830	PWY0-1312	PWY0-1477	PWY4LZ-257	rn00430	rn00620	rn00680	rn00720	rn01200
rxn20542	LIPASYN-PWY	PWY-3561	PWY-4762	PWY-7039
rxn20543	LIPASYN-PWY	PWY-3561	PWY-4762	PWY-7039
rxn20544	ANAEROFRUCAT-PWY	ANAGLYCOLYSIS-PWY	CALVIN-PWY	GLUCONEO-PWY	HEXITOLDEGSUPER-PWY	P122-PWY	P124-PWY	P185-PWY	P441-PWY	P461-PWY	PHOTOALL-PWY	PWY-1042	PWY-5464	PWY-5484	PWY-6886	PWY-6901	PWY-7003	PWY-7124	PWY-7218	PWY-7345	PWY-8004	PWY66-399	SUCSYN-PWY	rn00010	rn00710	rn01110	rn01200	rn01230
rxn20545	
rxn20546	PEPTIDOGLYCANSYN-PWY	rn00550
rxn20547	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20551	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20553	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20555	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20557	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20559	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20563	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20565	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5269	PWY-5668	PWY-7817	PWY0-1545	PWY4FS-7	PWY4FS-8
rxn20567	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5669	PWY-7509
rxn20568	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5669	PWY-7509
rxn20569	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5669	PWY-7509
rxn20570	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5669	PWY-7509
rxn20571	TRIGLSYN-PWY
rxn20572	TRIGLSYN-PWY
rxn20573	TRIGLSYN-PWY
rxn20574	TRIGLSYN-PWY
rxn20575	PWY-7618
rxn20576	
rxn20577	PWY-6368	PWY-6580
rxn20578	PWY-6368	PWY-6580
rxn20579	PWY-6368	PWY-6580
rxn20580	PWY-6368
rxn20581	PWY-6368
rxn20582	
rxn20583	COLANSYN-PWY	GLUCOSE1PMETAB-PWY	GLYCOCAT-PWY	GLYCOGENSYNTH-PWY	PWY-2723	PWY-3801	PWY-5384	PWY-5661	PWY-5940	PWY-5941	PWY-622	PWY-6317	PWY-6415	PWY-6731	PWY-6737	PWY-6981	PWY-7238	PWY-7328	PWY-7343	PWY-7345	PWY-7900	PWY-7902	PWY66-422	SUCSYN-PWY	rn00010	rn00052	rn00500	rn00520	rn01110
rxn20584	LIPASYN-PWY	PWY-6803
rxn20585	
rxn20586	LIPASYN-PWY	PWY-6803
rxn20587	LIPASYN-PWY	PWY-6803
rxn20588	LIPASYN-PWY	PWY-6803
rxn20589	LIPASYN-PWY	PWY-6803
rxn20590	LIPASYN-PWY
rxn20591	LIPASYN-PWY
rxn20592	ERGOSTEROL-SYN-PWY	PWY-5910	PWY-6146	PWY-7391	PWY-922	PWY66-5	rn00900	rn01110
rxn20593	
rxn20594	
rxn20595	PHOTOALL-PWY	PWY-101	PWY-6886	PWY-7124	PWY-7218	PWY-7731
rxn20596	PHOTOALL-PWY	PWY-101	PWY-6886	PWY-7124	PWY-7218	PWY-7731
rxn20597	
rxn20599	PWY-6117
rxn20600	PWY-6117
rxn20601	
rxn20602	
rxn20603	PWY-7375	PWY-7379
rxn20604	
rxn20605	
rxn20606	
rxn20607	
rxn20608	HISTSYN-PWY	PRPP-PWY	rn00340	rn01110	rn01230
rxn20609	PWY-7894
rxn20610	PWY-7894
rxn20611	PWY-7894
rxn20612	GLUT-REDOX-PWY	PWY-7870
rxn20613	
rxn20614	
rxn20615	
rxn20616	TRNA-CHARGING-PWY
rxn20617	
rxn20618	PWY-3941	PWY-4221
rxn20619	PROPIONMET-PWY	PWY-5130	PWY-5328	PWY-5743	PWY-5789	PWY-6728	PWY-7024	PWY-7384	PWY-7389	rn00280	rn00630	rn00640	rn00720	rn01200
rxn20620	PWY66-374
rxn20621	PWY-4921
rxn20622	
rxn20623	
rxn20624	
rxn20625	
rxn20626	HEMESYN2-PWY	PWY-5918	PWY-5920	PWY0-1415	rn00860	rn01110
rxn20627	PWY-5918	PWY-5920	PWY-7159	PWY0-1415	rn00860	rn01110
rxn20628	PWY-6011
rxn20629	
rxn20630	PWY-8010	SER-GLYSYN-PWY	SERSYN-PWY	SULFATE-CYS-PWY	rn00260	rn00680	rn01200	rn01230
rxn20631	PWY0-845	PYRIDOXSYN-PWY
rxn20632	PHOTOALL-PWY	PWY-101	PWY-6886	PWY-7124	PWY-7218	PWY-7731
rxn20633	PHOTOALL-PWY	PWY-101	PWY-6886	PWY-7124	PWY-7218	PWY-7731
rxn20634	
rxn20635	
rxn20636	
rxn20637	PWY-2	rn00330
rxn20638	PWY-2	rn00330
rxn20639	
rxn20640	
rxn20641	
rxn20642	
rxn20643	PWY-6890	PWY-6895	THISYN-PWY	THISYNARA-PWY	rn00730
rxn20644	PWY-6890	PWY-6895	THISYN-PWY	THISYNARA-PWY
rxn20645	PWY-7009
rxn20646	PWY-4281	PWY-7515
rxn20649	rn00250	rn00330
rxn20650	ARG-PRO-PWY	ARGORNPROST-PWY	PROSYN-PWY	PWY-3341	PWY-4981	PWY-6344
rxn20651	CENTFERM-PWY	GLUDEG-II-PWY	NPGLUCAT-PWY	P142-PWY	P23-PWY	P42-PWY	PROPFERM-PWY	PWY-5096	PWY-5100	PWY-5392	PWY-5483	PWY-5493	PWY-5497	PWY-5538	PWY-5600	PWY-6142	PWY-6146	PWY-6583	PWY-6587	PWY-6588	PWY-6590	PWY-6594	PWY-6604	PWY-6863	PWY-6876	PWY-7003	PWY4LZ-257
rxn20652	
rxn20653	
rxn20654	
rxn20655	PWY-241	PWY-6549	PWY-7115	PWY-7117	rn00620	rn00710	rn00720	rn01200
rxn20656	P41-PWY	PWY-5482	PWY-5537	PWY-6886	PWY-7218	PWY-7384	PWY-7389	rn01200
rxn20657	
rxn20658	PWY-6848
rxn20659	
rxn20660	
rxn20661	PWY-5316	PWY-7342	PWY0-781	PYRIDNUCSYN-PWY	rn00760
rxn20662	
rxn20663	NADSYN-PWY	PWY-3502	PWY-5316	PWY-5653	PWY-7342	PWY0-781	PYRIDNUCSYN-PWY	rn00760
rxn20664	
rxn20665	P163-PWY	PWY-5327
rxn20666	
rxn20667	
rxn20668	PWY-1186	PWY-6053	PWY-6854
rxn20669	P181-PWY
rxn20670	P181-PWY
rxn20671	P203-PWY	PWY-5308
rxn20672	PWY0-41
rxn20673	P222-PWY	PWY-5294	PWY-6676
rxn20674	P222-PWY	PWY-5294	PWY-6676
rxn20675	
rxn20676	
rxn20677	P224-PWY
rxn20678	P201-PWY
rxn20679	P201-PWY
rxn20680	P201-PWY
rxn20681	P201-PWY
rxn20682	P221-PWY
rxn20683	P221-PWY
rxn20684	P241-PWY
rxn20685	PWY-5392
rxn20686	P261-PWY	PWY-6643
rxn20687	P261-PWY	PWY-6643
rxn20688	P281-PWY
rxn20689	P281-PWY
rxn20690	P281-PWY
rxn20691	PWY-6443	PWY-6446	PWY-6458	PWY-7169
rxn20692	P281-PWY
rxn20693	P281-PWY
rxn20694	P282-PWY
rxn20695	P282-PWY
rxn20696	P282-PWY
rxn20697	P301-PWY
rxn20698	P302-PWY
rxn20701	P321-PWY	PWY-7401	PWY-7402
rxn20702	PWY-301
rxn20703	PWY-301	PWY-7401	PWY-7402
rxn20704	
rxn20705	
rxn20706	P342-PWY
rxn20707	P342-PWY
rxn20708	PWY-7772	PWY-7773
rxn20709	P345-PWY
rxn20710	PWY-6269	PWY-7972
rxn20711	P421-PWY
rxn20712	P421-PWY
rxn20713	P421-PWY
rxn20714	PWY-2381
rxn20717	PWY-2381
rxn20718	
rxn20719	
rxn20720	P481-PWY
rxn20721	P481-PWY
rxn20722	P481-PWY
rxn20723	P481-PWY
rxn20724	P482-PWY
rxn20725	PWY-5727
rxn20726	PWY-5727
rxn20727	
rxn20728	
rxn20729	P561-PWY
rxn20731	P561-PWY
rxn20733	P581-PWY
rxn20734	PWY-5370
rxn20735	PWY-5370
rxn20736	PWY-5370
rxn20737	P601-PWY
rxn20738	P601-PWY
rxn20739	P601-PWY
rxn20740	P601-PWY	PWY-6989
rxn20741	P601-PWY	PWY-6989
rxn20742	P601-PWY	PWY-6989
rxn20743	P601-PWY	PWY-6989
rxn20744	P641-PWY
rxn20745	FERMENTATION-PWY	P108-PWY	P23-PWY	P42-PWY	PWY-5088	PWY-5392	PWY-6146	PWY0-1336	PWY0-1576	PWY0-1582
rxn20754	FERMENTATION-PWY	P108-PWY	P23-PWY	P42-PWY	PWY-5088	PWY-5392	PWY-6146	PWY0-1336	PWY0-1576	PWY0-1582
rxn20765	P661-PWY
rxn20766	P661-PWY
rxn20768	P662-PWY	PWY-7009
rxn20769	
rxn20770	
rxn20771	
rxn20772	PWY-3901	PWY-5287	PWY-6337	PWY-7138	PWY-7507	rn00950	rn01110
rxn20773	PWY-6875
rxn20774	rn00830
rxn20775	
rxn20776	
rxn20777	FUC-RHAMCAT-PWY	RHAMCAT-PWY
rxn20778	PWY-7815	PWY-7816	PWY-7818
rxn20779	P381-PWY	PWY-5507	PWY-5523	PWY-6168	PWY-7863	PWY66-366	RIBOSYN2-PWY	rn00740
rxn20780	RIBOKIN-PWY
rxn20781	
rxn20782	PWY0-166
rxn20783	
rxn20784	
rxn20785	
rxn20786	
rxn20787	
rxn20788	CALVIN-PWY	PHOTOALL-PWY	PWY-5532	PWY-5723	PWY-6886	PWY-7124	PWY-7218	rn00710	rn01200
rxn20789	
rxn20790	
rxn20791	
rxn20792	
rxn20793	P221-PWY
rxn20794	
rxn20795	PWY-5
rxn20796	PWY-5
rxn20797	PWY-6143
rxn20798	PWY-6143
rxn20799	PWY-6143
rxn20800	
rxn20801	PWY-6148
rxn20802	PWY-6148
rxn20803	PWY-6148
rxn20804	PWY-6148
rxn20805	PWY-6148
rxn20806	PWY-6153
rxn20807	PWY-6154
rxn20808	PWY-6153
rxn20809	PWY-6154
rxn20810	PWY-6154
rxn20811	
rxn20812	
rxn20813	
rxn20814	
rxn20815	
rxn20816	
rxn20817	
rxn20818	PWY-6160	PWY-6165
rxn20819	
rxn20820	PWY-6689
rxn20821	PWY-6368
rxn20822	PWY-6368
rxn20823	PWY-6281
rxn20824	PWY-6281
rxn20825	
rxn20826	
rxn20827	PWY-6160	PWY-6165
rxn20828	PWY-5197	PWY-6160	PWY-6165
rxn20829	PWY-6167	PWY-6168
rxn20830	PWY-6113	PWYG-321
rxn20831	PWY-6113	PWYG-321
rxn20832	PWY-6113	PWYG-321
rxn20833	PWY-6113	PWYG-321
rxn20834	PWY-6797	PWY-7853
rxn20835	PWY-5197
rxn20837	
rxn20838	PWY-6174
rxn20839	PWY-6174	PWY-7524	rn00900
rxn20840	PWY-6178
rxn20841	PWY-6178
rxn20842	GAMMAHEXCHLORDEG-PWY
rxn20843	PWY-6184
rxn20844	PWY-6185
rxn20845	PWY-6185
rxn20846	PWY-6193
rxn20847	
rxn20848	PWY-6190
rxn20849	PWY-6191
rxn20850	PWY-6192
rxn20851	PWY-6190
rxn20852	PWY-6191
rxn20853	PWY-6192
rxn20854	PWY-6191
rxn20855	PWY-6192
rxn20856	PWY-6191
rxn20857	PWY-6192
rxn20858	PWY-6192
rxn20859	PWY-6191
rxn20860	PWY-6191
rxn20861	
rxn20862	
rxn20863	
rxn20864	
rxn20865	
rxn20866	
rxn20867	
rxn20868	
rxn20869	
rxn20870	
rxn20871	
rxn20872	
rxn20873	PWY-6197
rxn20874	PWY-6197
rxn20875	PWY-6197
rxn20876	PWY-6199	PWY-6266
rxn20877	PWY-6199	PWY-6266
rxn20878	PWY-6200
rxn20879	PWY-6200
rxn20880	PWY-6199	PWY-6266
rxn20881	PWY-7770	PWYDQC-4	rn00380
rxn20882	PWY-282
rxn20883	PWY-282
rxn20884	PWY-282
rxn20885	PWY-282
rxn20886	PWY-6199	PWY-6266
rxn20887	PWY-5645
rxn20888	PWY-5645
rxn20889	PWY-282
rxn20890	
rxn20891	PWY-5645
rxn20892	
rxn20893	PWY-6214
rxn20894	PWY-6214
rxn20895	PWY-6216
rxn20896	PWY-6216
rxn20897	PWY-6216
rxn20898	PWY-6216
rxn20899	PWY-6216	PWY-6217
rxn20900	PWY-6216	PWY-6217
rxn20901	PWY-6217
rxn20902	PWY-6217
rxn20903	
rxn20904	
rxn20905	
rxn20906	
rxn20907	
rxn20908	
rxn20909	PWY-6220	PWY-6233	PWY-6234
rxn20910	PWY-6220	PWY-6233	PWY-6234
rxn20911	
rxn20912	
rxn20913	
rxn20914	PWY-6220	PWY-6234
rxn20915	PWY-6668	rn00904
rxn20916	
rxn20917	
rxn20918	
rxn20919	PWY-6224	PWY-6623
rxn20920	PWY-7469
rxn20921	PWY-6228
rxn20922	PWY-6233	PWY-6234
rxn20923	PWY-6297
rxn20924	PWY-7859
rxn20925	
rxn20926	
rxn20927	
rxn20928	PWY-6220	PWY-6233	PWY-6234
rxn20929	PWY-6220	PWY-6233	PWY-6234
rxn20930	PWY-6220	PWY-6234
rxn20931	PWY-6220	PWY-6233	PWY-6234
rxn20932	PWY-6220	PWY-6233	PWY-6234
rxn20933	
rxn20934	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY0-1319	PWY4FS-7
rxn20935	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY0-1319	PWY4FS-7
rxn20936	
rxn20937	
rxn20938	
rxn20939	
rxn20940	PWY-6241
rxn20941	PWY-6241
rxn20942	PWY-6241
rxn20943	PWY-6241
rxn20944	PWY-6241
rxn20945	PWY-6241
rxn20946	PWY-6241
rxn20947	PWY-6241
rxn20948	PWY-6241
rxn20949	PWY-6241
rxn20950	PWY-6241
rxn20951	PWY-6241
rxn20952	PWY-6254
rxn20953	PWY-6257
rxn20954	PWY-6257
rxn20955	PWY-6258
rxn20956	PWY-6258
rxn20957	PWY-6258
rxn20958	PWY-6258
rxn20959	PWY-6260
rxn20960	PWY-6260
rxn20961	PWY-6260
rxn20962	PWY-6260
rxn20963	PWY-6260
rxn20964	PWY-6261
rxn20965	PWY-6261
rxn20966	PWY-6261
rxn20967	PWY-6261
rxn20968	rn00073
rxn20969	PWY-6261
rxn20970	PWY-6261
rxn20971	PWY-6261
rxn20972	PWY-6261
rxn20973	PWY-6261
rxn20974	PWY-6261
rxn20975	PWY-6261
rxn20976	PWY-6261
rxn20977	PWY-6261
rxn20978	PWY-6261
rxn20979	PWY-6261
rxn20980	PWY-6261
rxn20981	PWY-6261
rxn20982	PWY-6261
rxn20983	
rxn20984	PWY-6263	PWY-7371	PWY-7373	PWY-7374	PWY-7992
rxn20985	PWY-6262	PWY-6263	PWY-7992
rxn20986	rn00900	rn01110
rxn20987	PWY-6453
rxn20988	PWY-6453
rxn20989	PWY-6453
rxn20990	
rxn20991	PWY-7501
rxn20992	PWY-7501
rxn20993	
rxn20994	PWY-321
rxn20995	PWY-321
rxn20996	PWY-6278
rxn20997	PWY-6279
rxn20998	PWY-6279
rxn20999	PWY-6279
rxn21000	PWY-6279
rxn21001	PWY-6280
rxn21002	PWY-6280
rxn21003	PWY-321	rn00073
rxn21004	PWY-6280
rxn21005	PWY-6280
rxn21006	PWY-6280
rxn21007	PWY-6280
rxn21008	PWY-6282	PWY-6284	PWY-6285
rxn21009	PWY-6282	PWY-6284	PWY-6285
rxn21010	PWY-6282	PWY-6284	PWY-6285
rxn21011	PWY-6282	PWY-6284	PWY-6285
rxn21012	PWY-6282	PWY-6284	PWY-6285
rxn21013	PWY-6282	PWY-6284	PWY-6285
rxn21014	PWY-6282	PWY-6284	PWY-6285
rxn21015	PWY-6282	PWY-6284	PWY-6285
rxn21016	
rxn21017	
rxn21018	PWY-5987
rxn21019	PWY-5987
rxn21020	PWY-6286
rxn21021	PWY-6286
rxn21022	PWY-6286
rxn21023	
rxn21024	PWY-6288
rxn21026	PWY-6288
rxn21028	PWY-6288
rxn21030	PWY-6288
rxn21032	
rxn21033	PWY-6289
rxn21034	PWY-6289
rxn21035	PWY-6289
rxn21036	PWY-6289
rxn21037	PWY-6289
rxn21038	PWY-6289
rxn21039	PWY-6289
rxn21040	PWY-6289
rxn21041	PWY-7999
rxn21042	
rxn21043	
rxn21044	
rxn21045	PWY-6297
rxn21046	PWY-641
rxn21050	PWY-641
rxn21053	PWY-641
rxn21054	PWY-6035	PWY-641
rxn21055	PWY-6035	PWY-641
rxn21057	PWY-735	rn00592
rxn21058	PWY-735
rxn21059	PWY-735
rxn21060	PWY-735
rxn21061	PWY-735
rxn21062	PWY-735
rxn21063	PWY-735
rxn21064	PWY-735
rxn21065	PWY-735
rxn21066	PWY-735
rxn21067	PWY-735
rxn21068	PWY-735
rxn21069	PWY-735
rxn21070	PWY-735
rxn21071	PWY-735
rxn21072	PWY-735
rxn21073	PWY-735
rxn21074	PWY-6302
rxn21075	PWY-6302
rxn21076	PWY-6303
rxn21077	PWY-6308
rxn21078	PWY-6308
rxn21079	PWY-6309
rxn21080	PWY-6309
rxn21081	PWY-6310
rxn21082	
rxn21083	
rxn21084	PWY-6310
rxn21085	PWY-6310
rxn21086	PWY-6310
rxn21087	PWY-6310
rxn21088	PWY-6310
rxn21089	PWY-6312
rxn21090	PWY-6312
rxn21091	
rxn21092	rn00365
rxn21093	
rxn21095	PWY-6806
rxn21096	
rxn21097	PWY-6440	rn00330	rn00410
rxn21098	PWY-6312
rxn21099	
rxn21100	PWY-6312
rxn21101	PWY-6312
rxn21102	
rxn21103	
rxn21104	
rxn21105	
rxn21106	
rxn21107	
rxn21108	
rxn21109	
rxn21110	
rxn21111	
rxn21112	PWY-6788	rn00500
rxn21113	PWY-6313
rxn21114	PWY-6313	rn00380
rxn21115	PWY-6313
rxn21116	PWY-6313	rn00380
rxn21117	PWY-6313
rxn21118	PWY-6313
rxn21119	
rxn21120	PWY-6313
rxn21121	PWY-6423
rxn21122	
rxn21123	
rxn21124	PWY-7129
rxn21125	
rxn21126	
rxn21127	
rxn21128	
rxn21129	PWY-6314
rxn21130	PWY-6314
rxn21131	PWY-7366
rxn21132	
rxn21133	
rxn21134	ALL-CHORISMATE-PWY	ANAPHENOXI-PWY	BENZCOA-PWY	COMPLETE-ARO-PWY	PWY-5079	PWY-6318	PWY-6628	PWY-8014	rn00360	rn00400	rn00960	rn01110	rn01210	rn01230
rxn21135	PWY-6318	PWY-8014
rxn21136	PWY-6321
rxn21137	PWY-6321
rxn21140	PWY-6322	PWY-7769	rn00440	rn01110
rxn21141	PWY-6320
rxn21142	PWY-6322	PWY-7769
rxn21143	PWY-6322	PWY-7769
rxn21144	PWY-6322	PWY-7769
rxn21145	PWY-6322	PWY-7769
rxn21146	PWY-6322	PWY-7769
rxn21147	PWY-6322	PWY-7769
rxn21148	PWY-6322	PWY-7769
rxn21149	
rxn21150	PWY-6322
rxn21151	PWY-6322
rxn21152	PWY-6857	PWY-6861	rn00830
rxn21153	PWY-6857	PWY-6861	rn00830
rxn21154	
rxn21155	PWY-6325
rxn21156	PWY-5294
rxn21157	PWY-6327
rxn21158	PWY-6328
rxn21159	PWY66-425
rxn21161	PWY-5283	PWY-5298	PWY-5327	PWY66-425
rxn21162	
rxn21163	
rxn21164	PWY-6326
rxn21165	
rxn21166	
rxn21167	
rxn21168	
rxn21169	PWY-6334
rxn21170	PWY-6334
rxn21171	
rxn21172	
rxn21173	PWY-6546
rxn21174	PWY-6546
rxn21175	PWY-6334
rxn21176	
rxn21177	
rxn21178	
rxn21179	
rxn21180	PWY-5839	PWY-5840
rxn21189	PWY-6336	PWY-6954
rxn21190	PWY-6336	PWY-6954	PWY-7006
rxn21191	
rxn21192	
rxn21193	
rxn21194	
rxn21195	PWY-6337
rxn21198	PWY-6339
rxn21200	PWY-6340
rxn21201	PWY-6340
rxn21202	PWY-6341
rxn21203	PWY-6341
rxn21204	PWY-6341
rxn21205	PWY-6341
rxn21206	PWY-6341
rxn21207	PWY-6341
rxn21208	PWY-6341
rxn21209	PWY-6341
rxn21210	PWY-6342	rn00350
rxn21211	PWY-6342	rn00350
rxn21212	PWY-6342	rn00350
rxn21213	PWY-6342	rn00350
rxn21214	PWY-6342	rn00350
rxn21215	PWY-6342	rn00350
rxn21216	PWY-6342	rn00350
rxn21217	PWY-6342
rxn21218	PWY-6345	PWY-6346	PWY-7040
rxn21219	
rxn21220	PWY-6345	PWY-6346
rxn21221	PWY-6345
rxn21222	PWY-6345
rxn21223	PWY-6345
rxn21224	PWY-6345
rxn21226	PWY-6346
rxn21227	PWY-6346
rxn21228	PWY-6346
rxn21229	PWY-6346
rxn21230	PWY-6350
rxn21231	PWY-6350
rxn21232	PWY-6350
rxn21233	PWY-6350
rxn21234	PWY-6141	PWY-6146
rxn21235	
rxn21236	PWY-6352	PWY-6371
rxn21237	PWY-6352	PWY-6371
rxn21238	PWY-6352	PWY-6371
rxn21239	PWY-4781	rn00562
rxn21240	PWY-4781	rn00562
rxn21241	
rxn21242	PWY-4702
rxn21243	PWY-4702
rxn21244	PWY-4702	rn00562
rxn21245	
rxn21246	PWY-6366	PWY-6371
rxn21247	PWY-6366	PWY-6371
rxn21248	
rxn21249	
rxn21250	PWY-6368
rxn21251	
rxn21252	
rxn21253	
rxn21254	
rxn21255	PWY-4702
rxn21256	PWY-6365	PWY-6371
rxn21257	
rxn21258	
rxn21259	
rxn21260	PWY-6367	PWY-6371
rxn21261	
rxn21262	PWY-6368
rxn21263	PWY-6368
rxn21264	PWY-6368
rxn21265	PWY-6368
rxn21266	
rxn21268	
rxn21269	
rxn21270	PWY-6369	PWY-6371
rxn21271	PWY-6369	PWY-6371
rxn21272	PWY-6369	PWY-6371
rxn21273	PWY-6369	PWY-6371
rxn21274	PWY-6369	PWY-6371
rxn21275	
rxn21276	
rxn21277	
rxn21278	
rxn21279	PWY-6369	PWY-6371
rxn21280	PWY-6370
rxn21281	PWY-6370
rxn21282	PWY-6372
rxn21283	PWY-6372
rxn21284	PWY-6372
rxn21285	PWY-6373
rxn21286	PWY-6373
rxn21287	
rxn21288	PWY-6374
rxn21289	PWY-6374
rxn21290	PWY-6374
rxn21291	PWY-6374
rxn21292	PWY-6374
rxn21293	
rxn21294	PWY-6375	PWY-6376	PWY-6381
rxn21295	PWY-6375	PWY-6376	PWY-6381
rxn21296	PWY-6375
rxn21297	PWY-6375
rxn21298	PWY-6376
rxn21299	PWY-12
rxn21300	
rxn21301	PWY-6376
rxn21302	PWY-6377
rxn21303	PWY-6377
rxn21304	PWY-6377
rxn21305	PWY-6377
rxn21306	PWY-6378	PWY-6379
rxn21307	PWY-6378	PWY-6379
rxn21308	PWY-6378
rxn21309	PWY-6378
rxn21310	PWY-6379
rxn21311	PWY-6379
rxn21312	PWY-6379
rxn21313	PWY-6381
rxn21314	PWY-6381
rxn21315	PWY1G-0
rxn21316	
rxn21317	
