reaction_id	pathway_ids (KEGG and Metacyc
rxn00183	ARGASEDEG-PWY	PROUT-PWY	PWY-6853	rn00330
rxn00184	ARGININE-SYN4-PWY	GLUDEG-I-PWY	GLUTAMATE-SYN2-PWY	GLUTSYNIII-PWY	PWY-5505	PWY-5675	PWY-5766	PWY-5913	PWY490-3	(L-ornithine	L-Ornithine-Biosynthesis	rn00250	rn00330	rn00471	rn00910
rxn00185	
rxn00186	PWY-4041	PWY-7942	rn00480
rxn00187	AMMASSIM-PWY	GLNSYN-PWY	PWY-3282	PWY-381	PWY-5505	PWY-5675	PWY-6549	PWY-6963	PWY-6964	PWY490-3	rn00250	rn00330	rn00630	rn00910	rn01230
rxn00188	rn00340
rxn00189	CITRULBIO-PWY	GLUTAMINDEG-PWY	PWY-5004	rn00250	rn00330	rn00471
rxn00190	NADSYN-PWY	PWY-3502	PWY-5381	PWY-5653	PWY-7761	PWY0-781	PWY3O-4107	PYRIDNUCSAL-PWY	PYRIDNUCSYN-PWY	rn00760
rxn00191	ALACAT2-PWY	ALANINE-DEG3-PWY	ALANINE-SYN2-PWY	PROPFERM-PWY	PWY-5096	PWY-6146	PWY-7115	PWY-7117	PWY-7383	PWY-7389	PWY0-1061	rn00250	rn00710	rn01200	rn01210	rn01230
rxn00192	ARGSYN-PWY	ARGSYNBSUB-PWY	GLUTORN-PWY	PWY-5154	L-ornithine))	(L-ornithine	L-Ornithine-Biosynthesis	rn00330	rn01110	rn01210	rn01230
rxn00193	PEPTIDOGLYCANSYN-PWY	PWY-5265	PWY-6385	PWY-6386	PWY-6387	PWY-6470	PWY-6471	rn00471
rxn00194	GLUDEG-I-PWY	PWY-4321	PWY0-1305	rn00250	rn00650
rxn00195	GLUDEG-II-PWY	PWY-5087	PWY-5088	PWY-5103	PWY-6728	rn00660
rxn00196	PWY-5159	PWY-5257	PWY-5517	PWY-5519	PWY-6486	PWY-6497	PWY-6499	PWY-6501	PWY-6516	PWY-6760	PWY-7516	PWY-8020	rn00040	rn00053
rxn00197	
rxn00198	rn00480	rn00720	rn01200	rn01210	rn01230
rxn00199	rn00020	rn01110	rn01210
rxn00200	rn00250
rxn00201	HISHP-PWY	rn00340
rxn00202	LYSINE-AMINOAD-PWY	P241-PWY	PWY-3081	PWY-7710	rn00300	rn00620	rn01210	rn01230
rxn00203	P105-PWY
rxn00204	PWY-6697	rn00630
rxn00205	DETOX1-PWY-1	PWY-4081	rn00480
rxn00206	DETOX1-PWY	DETOX1-PWY-1	PWY-6854
rxn00207	
rxn00208	PLPSAL-PWY	PWY-7204	PWY0-845	rn00750
rxn00209	PLPSAL-PWY	PWY-7204	PWY-7282	PWY0-845	PYRIDOXSYN-PWY	rn00750
rxn00210	rn00471
rxn00211	COLANSYN-PWY	PWY-4821	PWY-5114	PWY-6415	PWY-7328	PWY-7346	PWY-7820	rn00040	rn00053	rn00500	rn00520	rn01110
rxn00212	rn00240	rn00500
rxn00213	COLANSYN-PWY	PWY-3801	PWY-6415	PWY-6527	PWY-7238	PWY-7328	PWY-7343	PWY-7345	PWY-7817	SUCSYN-PWY	rn00040	rn00052	rn00500	rn00520	rn01110
rxn00214	COLANSYN-PWY	PWY-3821	PWY-5114	PWY-6317	PWY-6397	PWY-6404	PWY-6527	PWY-7328	PWY-7344	PWY-7622	PWY66-422	rn00052	rn00520	rn01110
rxn00215	PWY-3261	PWY-5114	rn00520	rn01110
rxn00216	ANAEROFRUCAT-PWY	ANAGLYCOLYSIS-PWY	GLUCOSE1PMETAB-PWY	GLYCOCAT-PWY	P122-PWY	P124-PWY	PWY-2722	PWY-2723	PWY-5514	PWY-5661	PWY-621	PWY-6981	PWY-7238	PWY-7385	PWY0-1182	TREDEGLOW-PWY	UDPNACETYLGALSYN-PWY	rn00521	rn00524	rn01110
rxn00217	
rxn00218	
rxn00219	
rxn00220	PWY66-399
rxn00221	GLUCOSE1PMETAB-PWY
rxn00222	rn00500
rxn00223	
rxn00224	HEMESYN2-PWY	PWY-5918	PWY-5920	PWY0-1415	rn00860	rn01110
rxn00225	ACETATEUTIL-PWY	ARGORNPROST-PWY	FERMENTATION-PWY	METH-ACETATE-PWY	P124-PWY	P142-PWY	P161-PWY	P163-PWY	P164-PWY	P3-PWY	P41-PWY	P441-PWY	P461-PWY	PROPFERM-PWY	PWY-5100	PWY-5327	PWY-5482	PWY-5485	PWY-5497	PWY-5600	PWY-5676	PWY-6590	PWY-6604	PWY-6830	PWY-8015	PWY0-1312	PWY0-1477	PWY4LZ-257	rn00430	rn00620	rn00680	rn00720	rn01200
rxn00226	rn00620
rxn00227	rn00620
rxn00228	P483-PWY	rn00440
rxn00229	rn00620
rxn00230	rn00620
rxn00231	
rxn00232	rn00230
rxn00233	P342-PWY
rxn00234	GLUDEG-II-PWY	PWY-5087	PWY-5088	rn00660
rxn00235	
rxn00236	rn00230
rxn00237	DENOVOPURINE2-PWY	PPGPPMET-PWY	PRPP-PWY	PWY-6125	PWY-7221	PWY-7228	PWY-841	PWY66-409	rn00230
rxn00238	
rxn00239	DENOVOPURINE2-PWY	PRPP-PWY	PWY-6125	PWY-7221	PWY-7228	PWY-841	PWY66-409	rn00230
rxn00240	rn00230
rxn00241	rn00230
rxn00242	PPGPPMET-PWY	rn00230
rxn00243	
rxn00244	PWY-6699
rxn00245	rn00630
rxn00247	GLUCONEO-PWY	PWY-561	PWY-7117	rn00010	rn00020	rn00620	rn00710	rn01110	rn01200
rxn00248	FERMENTATION-PWY	GLUCONEO-PWY	MALATE-ASPARTATE-SHUTTLE-PWY	P105-PWY	P108-PWY	P23-PWY	P42-PWY	PWY-1622	PWY-5088	PWY-5392	PWY-5464	PWY-561	PWY-5690	PWY-5913	PWY-6146	PWY-6728	PWY-6969	PWY-7115	PWY-7383	PWY-7389	PWY66-398	PWY66-399	rn00020	rn00620	rn00630	rn00680	rn00710	rn00720	rn01110	rn01200
rxn00249	PWY-241	PWY-7117	rn00620	rn00710	rn01200
rxn00250	P42-PWY	PWY-6142	PWY-6146	PWY66-399	rn00020	rn00620	rn00720	rn01200	rn01230
rxn00251	rn00620	rn00680	rn00710	rn00720	rn01200
rxn00252	rn00620
rxn00253	PWY-6649
rxn00254	PWY-4002	rn00250
rxn00255	GALLATE-DEGRADATION-I-PWY	GALLATE-DEGRADATION-II-PWY	METHYLGALLATE-DEGRADATION-PWY	P184-PWY	PWY-6338	PWY-6339	rn00362
rxn00256	FERMENTATION-PWY	P105-PWY	PWY-5464	PWY-561	PWY-5690	PWY-5913	PWY-6549	PWY-6728	PWY-6969	PWY-7124	PWY-7254	PWY66-398	rn00020	rn00630	rn01110	rn01200	rn01210	rn01230
rxn00257	P23-PWY	PWY-5172	PWY-5173	rn00020	rn00720	rn01110	rn01200
rxn00258	rn00640
rxn00259	PWY-5392	rn00720	rn01200
rxn00260	ASPARAGINE-DEG1-PWY-1	ASPARTATE-DEG1-PWY	ASPARTATESYN-PWY	ASPASN-PWY	GLUTDEG-PWY	MALATE-ASPARTATE-SHUTTLE-PWY	P4-PWY	PWY-3001	PWY-5345	PWY-5347	PWY-5913	PWY-6146	PWY-7115	PWY-7117	PWY-7383	PWY-7389	PWY0-781	THRESYN-PWY	rn00250	rn00710	rn01110	rn01200	rn01210	rn01230
rxn00261	
rxn00262	rn00250
rxn00263	rn00250
rxn00264	
rxn00265	
rxn00266	
rxn00267	rn00260
rxn00268	
rxn00269	PWY-7396	rn00260
rxn00270	P541-PWY	PWY-6004	rn00260
rxn00271	PWY-7351
rxn00272	GLYSYN-ALA-PWY	rn00250
rxn00273	
rxn00274	THREOCAT-PWY	THREONINE-DEG2-PWY	rn00260
rxn00275	PWY-181	rn00260	rn00630	rn01110
rxn00276	
rxn00277	
rxn00278	PWY1-2	rn00250	rn00430
rxn00279	rn00250	rn01230
rxn00280	PWY-7351
rxn00281	
rxn00282	rn00250
